source,headline,date,conflict,responsibility
Reuters,Russia killed over 600 Ukrainian fighters in artillery strikes - defence ministry,"May 05, 2022",Russia - Ukraine,Direct
Reuters,"More than 2,000 Ukrainian civilians killed during Russian invasion - Ukrainian emergency service","March 02, 2022",Russia - Ukraine,Direct
Reuters,"Russian bombardment of Kyiv kills four, curfew called","March 15, 2022",Russia - Ukraine,Direct
Reuters,Russia says missile strike hit and killed Ukrainian troops on Snake Island,"July 07, 2022",Russia - Ukraine,Direct
Reuters,"At least 27 killed in Ukraine's eastern city of Kharkiv in past day, says police official","March 08, 2022",Russia - Ukraine,No
Reuters,Russian strikes on Ukraine's Kharkiv region kill at least 11,"May 19, 2022",Russia - Ukraine,Direct
Reuters,"Zelenskiy says 31,000 Ukrainian soldiers killed since Russia invaded","Feb 29, 2024",Russia - Ukraine,Direct
Reuters,"Russian missile attack on Ukrainian town kills seven, officials say","June 29, 2024",Russia - Ukraine,Direct
Reuters,"Eight dead in two Russian strikes on Kharkiv, officials say","April 07, 2024",Russia - Ukraine,Direct
Reuters,"Russian attack on Ukraine's Kharkiv kills 14, injures dozens","May 06, 2024",Russia - Ukraine,Direct
Reuters,Russian missile kills three women at Ukrainian 'invincibility point' - officials,"March 24, 2023",Russia - Ukraine,Direct
Reuters,"Russia's biggest air attack of war kills 31 in Ukraine, officials say","Dec 29, 2023",Russia - Ukraine,Direct
Reuters,"Russian missile attack on Ukraine's Kharkiv kills five, causes fire","March 20, 2024",Russia - Ukraine,Direct
Reuters,Ukrainian brigade says 19 killed in Russian missile strike last week,"Nov 29, 2023",Russia - Ukraine,Direct
Reuters,"Russian missiles kill 20 in Odesa, Zelenskiy vows retaliation","March 15, 2024",Russia - Ukraine,Direct
